First Name,Surname,Middle Initials,DoB,Age Last Birthday,Favourite Colour,Favourite Animal,Favourite Food,Gender,Password,City,County,Postcode,eMail,Phone,Mobile,RQF, Salary ,Website Visits last 30 days
Derek,Card,A,7/1/65,60,Red,Elephant,Bangers and Mash,Male,Parishaggis17%,Arundel,West Sussex,BN18 9PA,card49a@gmail.com,01903 882543,07787 557197,3," œ19,500.00 ",7
David,Button,none,22/8/99,25,Green,Giraffe,Cottage Pie,Male,CarTrain 56$,Bath ,Avon,BA1 2QZ,button76@outlook.com,01225 413106,07961 102199,4," œ21,000.00 ",15
Ian,Smythe,JO,3/1/25,100,Blue,Cat,Toad in the Hole,blank,1945Tank*,Chester,Cheshire,CH2 1EU,long.65.morning@icloud.com,01244 380280,07594 146913,5," œ23,000.00 ",28
Samantha,Jones,D,24/3/91,33,Indigo,Wolf,Roast,Female,Yorkshire!3Pig,Dursley,Gloucestershire,GL11 4CD,busybusy@yahoo.com,01453 580136,07577 752530,6," œ32,500.00 ",34
Wendy,Brown,L,29/1/14,11,Pink,Puppy,Fish and Chips,Female,Snoopy78Peanut!,Frome,Somerset,BA11 7RT,brownsheep@flock.com,01373 253333,07768 852327,-, na ,3
Jude,Thomas,,6/10/51,73,Black,Badger,Curry,Male,Manage=7This,Ipswich,Suffolk,IP1 2DA,thomasold@gmail.com,01473 712233,07570 282737,2," œ11,541.90 ",16
Blake,Abney-James,,2/10/08,16,Teal,Goose,Pizza,Female,All-spice77,Andover,Hampshire,SP10 2EA,abneyallseeing@outlook.com,01264 338733,07812 132687,2," œ1,331.20 ",22
Indigo,Pearce,Y,25/7/54,70,Grey,Crab,Curry,Non-binary,Geneva(banana)9,Rhyl,Clwyd,LL18 1AS,junk@icloud.com,01745 344567,03301 623763,6," œ33,000.00 ",42
Rowan,Weaver,-,25/8/73,51,Cyan,Cow,Crumpets,-,Yellow8Gold%,Warminster,Wiltshire,BA12 9BT,myotheraddress@gmail.com,01985 068271,07305 268271,7," œ41,275.00 ",52
Jordan,Mayfield,{NULL},14/11/75,49,Violet,Beaver,Pie and Chips,Prefer not to answer,TakeThat2000!,Yelverton,Devon,PL20 6DT,mayfield_all@gmail.com,01822 618440,07903 438339,8," œ52,370.00 ",29
